aimag,year,avg_temp_mean,min_temp_min,wind_speed_mean,snowfall_sum,precip_sum,loss_value,livestock_region_value
Ömnögovi,2015,5.7766,-24.0,14.516966666666667,73.22,514.1,1.3,7000.8
Ömnögovi,2016,5.766916666666666,-30.4,14.641833333333333,21.490000000000002,517.5,2.0,7524.6
Ömnögovi,2017,6.098533333333334,-28.6,14.447616666666667,80.43,436.8,0.8,8687.4
Ömnögovi,2018,5.099033333333334,-33.4,15.00375,41.019999999999996,735.8,4.7,9000.0
Ömnögovi,2019,5.480883333333334,-28.5,14.417933333333334,126.14,570.1,0.7,9949.7
Ömnögovi,2020,5.5594833333333336,-31.8,14.370383333333333,67.55,439.0,2.5,9624.4
Ömnögovi,2021,5.994466666666667,-32.9,15.48525,42.769999999999996,606.7,0.8,8823.3
Ömnögovi,2022,5.726699999999999,-28.2,14.983666666666666,94.78,461.3,1.9000000000000001,9637.7
Ömnögovi,2023,6.316466666666667,-32.8,15.150366666666667,65.03,508.1,2.0,8448.1
Ömnögovi,2024,6.3232333333333335,-30.5,14.025416666666667,100.03,1159.5,1.4,7098.5
