Малын төрөл,Бүс,Код,Он,Утга
Бүгд,         Говийн бүс,6,2024,7098.5
Бүгд,         Говийн бүс,6,2023,8448.1
Бүгд,         Говийн бүс,6,2022,9637.7
Бүгд,         Говийн бүс,6,2021,8823.3
Бүгд,         Говийн бүс,6,2020,9624.4
Бүгд,         Говийн бүс,6,2019,9949.7
Бүгд,         Говийн бүс,6,2018,9000.0
Бүгд,         Говийн бүс,6,2017,8687.4
Бүгд,         Говийн бүс,6,2016,7524.6
Бүгд,         Говийн бүс,6,2015,7000.8
Бүгд,               Өмнөговь,646,2024,1970.1
Бүгд,               Өмнөговь,646,2023,2042.0
Бүгд,               Өмнөговь,646,2022,2637.3
Бүгд,               Өмнөговь,646,2021,2513.8
Бүгд,               Өмнөговь,646,2020,2880.8
Бүгд,               Өмнөговь,646,2019,3000.3
Бүгд,               Өмнөговь,646,2018,2598.4
Бүгд,               Өмнөговь,646,2017,2654.4
Бүгд,               Өмнөговь,646,2016,2314.0
Бүгд,               Өмнөговь,646,2015,2055.8
Адуу,         Говийн бүс,6,2024,371.9
Адуу,         Говийн бүс,6,2023,489.9
Адуу,         Говийн бүс,6,2022,525.5
Адуу,         Говийн бүс,6,2021,468.9
Адуу,         Говийн бүс,6,2020,464.6
Адуу,         Говийн бүс,6,2019,463.0
Адуу,         Говийн бүс,6,2018,420.0
Адуу,         Говийн бүс,6,2017,414.3
Адуу,         Говийн бүс,6,2016,361.2
Адуу,         Говийн бүс,6,2015,347.6
Адуу,               Өмнөговь,646,2024,84.9
Адуу,               Өмнөговь,646,2023,92.7
Адуу,               Өмнөговь,646,2022,112.5
Адуу,               Өмнөговь,646,2021,102.0
Адуу,               Өмнөговь,646,2020,110.4
Адуу,               Өмнөговь,646,2019,109.5
Адуу,               Өмнөговь,646,2018,96.5
Адуу,               Өмнөговь,646,2017,98.7
Адуу,               Өмнөговь,646,2016,85.3
Адуу,               Өмнөговь,646,2015,74.2
Үхэр,         Говийн бүс,6,2024,207.8
Үхэр,         Говийн бүс,6,2023,243.5
Үхэр,         Говийн бүс,6,2022,260.5
Үхэр,         Говийн бүс,6,2021,232.9
Үхэр,         Говийн бүс,6,2020,228.4
Үхэр,         Говийн бүс,6,2019,216.3
Үхэр,         Говийн бүс,6,2018,197.6
Үхэр,         Говийн бүс,6,2017,189.8
Үхэр,         Говийн бүс,6,2016,161.5
Үхэр,         Говийн бүс,6,2015,155.9
Үхэр,               Өмнөговь,646,2024,25.2
Үхэр,               Өмнөговь,646,2023,27.6
Үхэр,               Өмнөговь,646,2022,34.8
Үхэр,               Өмнөговь,646,2021,31.3
Үхэр,               Өмнөговь,646,2020,33.2
Үхэр,               Өмнөговь,646,2019,31.7
Үхэр,               Өмнөговь,646,2018,26.9
Үхэр,               Өмнөговь,646,2017,27.0
Үхэр,               Өмнөговь,646,2016,22.1
Үхэр,               Өмнөговь,646,2015,18.7
Тэмээ,         Говийн бүс,6,2024,252.7
Тэмээ,         Говийн бүс,6,2023,256.4
Тэмээ,         Говийн бүс,6,2022,259.5
Тэмээ,         Говийн бүс,6,2021,249.4
Тэмээ,         Говийн бүс,6,2020,255.0
Тэмээ,         Говийн бүс,6,2019,243.6
Тэмээ,         Говийн бүс,6,2018,235.5
Тэмээ,         Говийн бүс,6,2017,219.7
Тэмээ,         Говийн бүс,6,2016,202.9
Тэмээ,         Говийн бүс,6,2015,186.3
Тэмээ,               Өмнөговь,646,2024,148.2
Тэмээ,               Өмнөговь,646,2023,157.2
Тэмээ,               Өмнөговь,646,2022,164.8
Тэмээ,               Өмнөговь,646,2021,160.6
Тэмээ,               Өмнөговь,646,2020,166.8
Тэмээ,               Өмнөговь,646,2019,157.9
Тэмээ,               Өмнөговь,646,2018,152.3
Тэмээ,               Өмнөговь,646,2017,141.2
Тэмээ,               Өмнөговь,646,2016,130.5
Тэмээ,               Өмнөговь,646,2015,118.6
Хонь,         Говийн бүс,6,2024,2839.4
Хонь,         Говийн бүс,6,2023,3532.7
Хонь,         Говийн бүс,6,2022,3881.0
Хонь,         Говийн бүс,6,2021,3538.0
Хонь,         Говийн бүс,6,2020,3761.9
Хонь,         Говийн бүс,6,2019,3902.1
Хонь,         Говийн бүс,6,2018,3596.7
Хонь,         Говийн бүс,6,2017,3366.9
Хонь,         Говийн бүс,6,2016,2902.3
Хонь,         Говийн бүс,6,2015,2633.7
Хонь,               Өмнөговь,646,2024,541.5
Хонь,               Өмнөговь,646,2023,547.3
Хонь,               Өмнөговь,646,2022,675.7
Хонь,               Өмнөговь,646,2021,626.7
Хонь,               Өмнөговь,646,2020,682.6
Хонь,               Өмнөговь,646,2019,718.2
Хонь,               Өмнөговь,646,2018,631.4
Хонь,               Өмнөговь,646,2017,614.0
Хонь,               Өмнөговь,646,2016,520.9
Хонь,               Өмнөговь,646,2015,447.0
Ямаа,         Говийн бүс,6,2024,3426.7
Ямаа,         Говийн бүс,6,2023,3925.5
Ямаа,         Говийн бүс,6,2022,4711.2
Ямаа,         Говийн бүс,6,2021,4334.2
Ямаа,         Говийн бүс,6,2020,4914.5
Ямаа,         Говийн бүс,6,2019,5124.7
Ямаа,         Говийн бүс,6,2018,4550.2
Ямаа,         Говийн бүс,6,2017,4496.8
Ямаа,         Говийн бүс,6,2016,3896.7
Ямаа,         Говийн бүс,6,2015,3677.3
Ямаа,               Өмнөговь,646,2024,1170.3
Ямаа,               Өмнөговь,646,2023,1217.2
Ямаа,               Өмнөговь,646,2022,1649.6
Ямаа,               Өмнөговь,646,2021,1593.2
Ямаа,               Өмнөговь,646,2020,1887.8
Ямаа,               Өмнөговь,646,2019,1983.0
Ямаа,               Өмнөговь,646,2018,1691.3
Ямаа,               Өмнөговь,646,2017,1773.5
Ямаа,               Өмнөговь,646,2016,1555.1
Ямаа,               Өмнөговь,646,2015,1397.4
